,timestamp,username,appDisplayName,category,clientAppUsed,deviceDetailbrowser,deviceDetaildisplayName,deviceDetailoperatingSystem,location,statusfailureReason,logcount,locincrement,appincrement,logcount_pred,logcount_loss,logcount_z_loss,locincrement_pred,locincrement_loss,locincrement_z_loss,appincrement_pred,appincrement_loss,appincrement_z_loss,appDisplayName_pred,appDisplayName_loss,appDisplayName_z_loss,clientAppUsed_pred,clientAppUsed_loss,clientAppUsed_z_loss,deviceDetailbrowser_pred,deviceDetailbrowser_loss,deviceDetailbrowser_z_loss,deviceDetaildisplayName_pred,deviceDetaildisplayName_loss,deviceDetaildisplayName_z_loss,deviceDetailoperatingSystem_pred,deviceDetailoperatingSystem_loss,deviceDetailoperatingSystem_z_loss,statusfailureReason_pred,statusfailureReason_loss,statusfailureReason_z_loss,max_abs_z,mean_abs_z,model_version
10,2022-08-30 08:31:49.739107+00:00,tprice@domain.com,SD ECDN,NonInteractiveUserSignInLogs,Browser,Rich Client 3.19.8.16603,THOMASPRICE-LT,Windows 10,"Veronicachester, XQ",NaN,10,7.0,3.0,8.458166724952731,0.075971454,0.8244897,4.163291698099528,2.7454615,1.4214387,2.3137258951659643,0.71053725,0.21948293,FortiGate SSL VPN,2.6308124,1.6948189,Mobile Apps and Desktop clients,1.1416852,6.4577317,Edge 118.12158,1.8783953,5.1054244,THOMASPRICE-LT,0.5840452,2.1183963,Windows 10,1.3468816,3.152505,External security challenge was not satisfied.,1.3951731,1.8710208,6.4577317,2.5405896,DFP-azure-tprice@domain.com:2
21,2022-08-31 00:44:58.235390+00:00,attacktarget@domain.com,LumApps,NonInteractiveUserSignInLogs,Mobile Apps and Desktop clients,Chrome 100.0.4896,ATTACKTARGET-LT,Windows 10,"Anomalous City, ZZ",NaN,3,1.0,4.0,6.271267578979897,0.6025697,0.30317664,1.8723300675428443,5.998288,2.4816537,1.8389035661961275,11.574828,6.3731756,Adobe Identity Management,1.7844853,1.3727466,Mobile Apps and Desktop clients,0.6207911,0.81593585,Edge 99.14477,1.137329,6.220656,ATTACKTARGET-LT,0.6577879,2.9634633,Windows 10,1.0004333,0.5480962,_other,-0.0,0.0,6.3731756,2.3421004,DFP-azure-attacktarget@domain.com:2
22,2022-08-31 00:47:59.808993+00:00,attacktarget@domain.com,Linux Foundation Training,NonInteractiveUserSignInLogs,Mobile Apps and Desktop clients,Chrome 100.0.4896,ATTACKTARGET-LT,Windows 10,"Anomalous City, ZZ",NaN,4,1.0,5.0,6.365363863844443,0.3150439,0.5465148,1.8768652938361559,6.060821,2.512629,1.8617814471849852,24.408024,14.089753,Adobe Identity Management,1.7973702,1.4990008,Mobile Apps and Desktop clients,0.6176658,1.2025502,Edge 99.14477,1.1273832,5.8704066,ATTACKTARGET-LT,0.6628763,3.557184,Windows 10,0.99720764,0.76480865,_other,-0.0,0.0,14.089753,3.338094,DFP-azure-attacktarget@domain.com:2
23,2022-08-31 01:18:44.640082+00:00,attacktarget@domain.com,Alaya,NonInteractiveUserSignInLogs,Mobile Apps and Desktop clients,Chrome 100.0.4896,ATTACKTARGET-LT,Windows 10,"Anomalous City, ZZ",NaN,5,1.0,6.0,6.421369725907698,0.11375991,0.7168649,1.8794983492835622,6.0972743,2.5306861,1.8608874536998405,42.460075,24.944418,Adobe Identity Management,1.7719367,1.2497864,Mobile Apps and Desktop clients,0.61965287,0.9567401,Edge 99.14477,1.1281856,5.898664,ATTACKTARGET-LT,0.65107524,2.1802187,Windows 10,0.98320967,1.7052401,_other,-0.0,0.0,24.944418,4.4647355,DFP-azure-attacktarget@domain.com:2
24,2022-08-31 01:34:38.535013+00:00,attacktarget@domain.com,UserEcho,NonInteractiveUserSignInLogs,Mobile Apps and Desktop clients,Chrome 100.0.4896,ATTACKTARGET-LT,Windows 10,"Anomalous City, ZZ",NaN,6,1.0,7.0,6.55329254874311,0.017237918,0.79855317,1.892926412464347,6.28488,2.6236157,1.883709441756748,64.874886,38.4224,Adobe Identity Management,1.8097162,1.6199752,Mobile Apps and Desktop clients,0.60757524,2.4508233,Edge 99.14477,1.1226863,5.7049985,ATTACKTARGET-LT,0.66601783,3.9237413,Windows 10,0.98474497,1.6020937,_other,-0.0,0.0,38.4224,6.349578,DFP-azure-attacktarget@domain.com:2
25,2022-08-31 02:32:09.248660+00:00,attacktarget@domain.com,GitHub Enterprise Cloud - Organization,NonInteractiveUserSignInLogs,Mobile Apps and Desktop clients,Chrome 100.0.4896,ATTACKTARGET-LT,Windows 10,"Anomalous City, ZZ",NaN,7,1.0,8.0,6.626158546231929,0.007869553,0.8064818,1.902980614614142,6.427211,2.6941185,1.8899416030554594,92.52457,55.048103,Adobe Identity Management,1.8151128,1.6728547,Mobile Apps and Desktop clients,0.60044956,3.3323169,Edge 99.14477,1.126144,5.826768,ATTACKTARGET-LT,0.66254324,3.5183208,Windows 10,0.97406447,2.319646,_other,-0.0,0.0,55.048103,8.357624,DFP-azure-attacktarget@domain.com:2
26,2022-08-31 02:51:52.779198+00:00,attacktarget@domain.com,Maverics Identity Orchestrator SAML Connector,NonInteractiveUserSignInLogs,Mobile Apps and Desktop clients,Chrome 100.0.4896,ATTACKTARGET-LT,Windows 10,"Anomalous City, ZZ",NaN,8,1.0,9.0,6.694966033020436,0.09590003,0.7319801,1.9128286084149408,6.568167,2.7639406,1.8966164969535015,125.053764,74.60785,Adobe Identity Management,1.8196213,1.7170318,Mobile Apps and Desktop clients,0.59345025,4.198179,Edge 99.14477,1.1270468,5.8585596,ATTACKTARGET-LT,0.65487343,2.6233966,Windows 10,0.96069396,3.2179227,_other,-0.0,0.0,74.60785,10.635428,DFP-azure-attacktarget@domain.com:2
27,2022-08-31 02:53:38.852385+00:00,attacktarget@domain.com,NanoNotion,NonInteractiveUserSignInLogs,Mobile Apps and Desktop clients,Chrome 100.0.4896,ATTACKTARGET-LT,Windows 10,"Anomalous City, ZZ",NaN,9,1.0,10.0,6.76759503810042,0.2806216,0.575647,1.9219353667273555,6.6998744,2.8291812,1.9066408304076403,162.33939,97.027626,Adobe Identity Management,1.8213475,1.7339458,Mobile Apps and Desktop clients,0.5883216,4.8326235,Edge 99.14477,1.1295013,5.944998,ATTACKTARGET-LT,0.6499398,2.0477307,Windows 10,0.94759357,4.098051,_other,-0.0,0.0,97.027626,13.232201,DFP-azure-attacktarget@domain.com:2
28,2022-08-31 03:08:27.951907+00:00,attacktarget@domain.com,Witivio,NonInteractiveUserSignInLogs,Mobile Apps and Desktop clients,Chrome 100.0.4896,ATTACKTARGET-LT,Windows 10,"Anomalous City, ZZ",NaN,10,1.0,11.0,6.836997894530729,0.5633446,0.33637354,1.9308945562363344,6.8307233,2.8939965,1.9159818408231066,204.5136,122.3869,Adobe Identity Management,1.8224834,1.7450765,Mobile Apps and Desktop clients,0.58242875,5.561611,Edge 99.14477,1.132102,6.036583,ATTACKTARGET-LT,0.6455494,1.5354573,Windows 10,0.9358321,4.888228,_other,-0.0,0.0,122.3869,16.153803,DFP-azure-attacktarget@domain.com:2
29,2022-08-31 03:36:22.410827+00:00,attacktarget@domain.com,iAuditor,NonInteractiveUserSignInLogs,Mobile Apps and Desktop clients,Chrome 100.0.4896,ATTACKTARGET-LT,Windows 10,"Anomalous City, ZZ",NaN,11,1.0,12.0,6.9052500755769675,0.94412595,0.014111633,1.939772881183051,6.9616394,2.9588451,1.92273916378091,251.68149,150.74887,Adobe Identity Management,1.8253336,1.7730044,Mobile Apps and Desktop clients,0.57609427,6.3452287,Edge 99.14477,1.1339931,6.1031814,ATTACKTARGET-LT,0.6397882,0.8632313,Windows 10,0.9234726,5.718581,_other,-0.0,0.0,150.74887,19.391674,DFP-azure-attacktarget@domain.com:2
