,timestamp,username,accessdevicebrowser,accessdeviceos,location,authdevicename,result,reason,logcount,locincrement,logcount_pred,logcount_loss,logcount_z_loss,locincrement_pred,locincrement_loss,locincrement_z_loss,result_pred,result_loss,result_z_loss,accessdevicebrowser_pred,accessdevicebrowser_loss,accessdevicebrowser_z_loss,accessdeviceos_pred,accessdeviceos_loss,accessdeviceos_z_loss,authdevicename_pred,authdevicename_loss,authdevicename_z_loss,reason_pred,reason_loss,reason_z_loss,max_abs_z,mean_abs_z,model_version
29,2022-08-31 00:40:41+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,14,1.0,6.232167265063267,3.366328,2.0340798,2.0280240733222956,2.6576443,1.4940499,False,0.7264926,2.7683733,Internet Explorer,0.6595816,0.6081058,Mac OS X,0.59051913,0.60695857,343 588 6771,0.7561955,4.6989274,invalid_passcode,1.0861961,2.3115582,4.6989274,2.074579,DFP-duo-attacktarget:1
30,2022-08-31 00:48:22+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,15,1.0,6.245384332954205,4.2759333,2.804437,2.029233314770334,2.6639001,1.4995012,False,0.72557414,2.7329028,Internet Explorer,0.6590214,0.54920954,Mac OS X,0.588093,0.68832165,343 588 6771,0.75973654,4.8736477,invalid_passcode,1.084311,2.406841,4.8736477,2.2221231,DFP-duo-attacktarget:1
31,2022-08-31 00:53:18+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,16,1.0,6.265771427305077,5.2863975,3.6602132,2.0309273691245493,2.6726766,1.5071491,False,0.72477305,2.701965,Internet Explorer,0.65840673,0.48459223,Mac OS X,0.5852624,0.7832472,343 588 6771,0.7632414,5.046583,invalid_passcode,1.0827417,2.4861622,5.046583,2.381416,DFP-duo-attacktarget:1
32,2022-08-31 00:54:48+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,17,1.0,6.28582778661962,6.4043336,4.607009,2.0321230370515777,2.67888,1.5125548,False,0.7246611,2.697642,Internet Explorer,0.65879655,0.5255733,Mac OS X,0.5812309,0.91844845,343 588 6771,0.76568633,5.1672187,invalid_passcode,1.0814282,2.5525582,5.1672187,2.568715,DFP-duo-attacktarget:1
33,2022-08-31 00:55:14+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,18,1.0,6.308448233573452,7.626074,5.6417174,2.03281492954879,2.6824727,1.5156856,False,0.7248453,2.704755,Internet Explorer,0.65935946,0.58475155,Mac OS X,0.57629704,1.083909,343 588 6771,0.7676572,5.264465,invalid_passcode,1.0797726,2.6362417,5.6417174,2.7759326,DFP-duo-attacktarget:1
34,2022-08-31 00:55:28+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,19,1.0,6.331725450597993,8.953474,6.765911,2.0336566804835665,2.6868467,1.519497,False,0.72482675,2.704039,Internet Explorer,0.65979457,0.630495,Mac OS X,0.5717029,1.2379779,343 588 6771,0.7692598,5.343539,invalid_passcode,1.077655,2.7432804,6.765911,2.992106,DFP-duo-attacktarget:1
35,2022-08-31 00:58:40+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,20,1.0,6.3537846100710045,10.389177,7.981828,2.03460819417287,2.6917958,1.5238098,False,0.7247751,2.7020433,Internet Explorer,0.65942866,0.59202665,Mac OS X,0.5668937,1.3992587,343 588 6771,0.77074534,5.4168367,invalid_passcode,1.0751503,2.8698843,7.981828,3.2122412,DFP-duo-attacktarget:1
36,2022-08-31 01:03:17+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,21,1.0,6.378363727634824,11.927478,9.2846365,2.0353601268310317,2.6957097,1.5272204,False,0.7246472,2.6971056,Internet Explorer,0.65908104,0.55548203,Mac OS X,0.56184435,1.5685931,343 588 6771,0.7726885,5.512716,invalid_passcode,1.072876,2.9848406,9.2846365,3.447228,DFP-duo-attacktarget:1
37,2022-08-31 01:03:31+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,22,1.0,6.399759966027868,13.577481,10.682047,2.035673544082507,2.6973424,1.528643,False,0.72473997,2.7006874,Internet Explorer,0.6585162,0.4961033,Mac OS X,0.5566874,1.7415357,343 588 6771,0.7746293,5.6084766,invalid_passcode,1.0707425,3.0926807,10.682047,3.692882,DFP-duo-attacktarget:1
38,2022-08-31 01:07:04+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,23,1.0,6.419233398926453,15.337901,12.172971,2.035905736331831,2.6985517,1.5296968,False,0.7250833,2.7139466,Internet Explorer,0.65773755,0.4142413,Mac OS X,0.5517955,1.905591,343 588 6771,0.7768343,5.717275,invalid_passcode,1.068893,3.186168,12.172971,3.948556,DFP-duo-attacktarget:1
39,2022-08-31 01:12:05+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,24,1.0,6.4388112412642595,17.205387,13.754571,2.0359377132733307,2.6987185,1.5298423,False,0.72525394,2.720537,Internet Explorer,0.65702605,0.3394414,Mac OS X,0.54734164,2.0549545,343 588 6771,0.77899593,5.8239326,invalid_passcode,1.0668304,3.290423,13.754571,4.2162433,DFP-duo-attacktarget:1
40,2022-08-31 01:12:46+00:00,attacktarget,Safari,Windows,"Anomalous City, Anomaloustate, Latvia",NaN,False,invalid_passcode,25,1.0,6.460323339436839,19.176132,15.423622,2.0359786170718457,2.6989317,1.530028,False,0.72555774,2.7322698,Internet Explorer,0.6562509,0.25794914,Mac OS X,0.5434811,2.1844208,343 588 6771,0.78130645,5.9379363,invalid_passcode,1.0643029,3.4181776,15.423622,4.497772,DFP-duo-attacktarget:1
